Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Steven Smith,Rhodes,21,33.6,18.3,11.7,1.06,0.64,0.58,0.52,0.24,1.19,0.10,0.49,-4.91,1.2,0.3,2.6,/profile/Steven-Smith-387/,/stats/greek/2009/Rhodes,2009,greek,Steven-Smith-387,Rhodes
Sammy Mejia,AEL,20,33.1,14.3,12.0,0.87,0.52,0.49,0.32,0.24,1.85,0.15,0.73,-3.97,1.0,0.2,2.2,/profile/Sammy-Mejia-169/,/stats/greek/2009/AEL,2009,greek,Sammy-Mejia-169,AEL
Donnie McGrath,Egaleo,20,32.7,13.5,10.1,0.89,0.59,0.52,0.33,0.62,2.15,0.21,0.62,-6.12,0.9,0.1,2.1,/profile/Donnie-McGrath-27732/,/stats/greek/2009/Egaleo,2009,greek,Donnie-McGrath-27732,Egaleo
William Avery,Trikala,25,32.5,14.0,11.0,0.90,0.55,0.51,0.34,0.49,3.32,0.30,1.32,-0.93,0.8,0.0,3.1,/profile/William-Avery-1555/,/stats/greek/2009/Trikala,2009,greek,William-Avery-1555,Trikala
Torin Francis,AEL,21,32.4,16.5,10.7,0.99,0.61,0.57,0.59,0.11,0.71,0.07,0.25,-7.36,0.4,1.4,3.3,/profile/Torin-Francis-35/,/stats/greek/2009/AEL,2009,greek,Torin-Francis-35,AEL
Aaron Miles,Panionios,28,32.0,10.9,9.4,0.82,0.49,0.42,0.42,0.19,3.54,0.38,1.80,1.25,2.2,0.1,2.1,/profile/Aaron-Miles-73/,/stats/greek/2009/Panionios,2009,greek,Aaron-Miles-73,Panionios
Anthony Grundy,Panellinios,28,31.8,15.1,11.9,0.96,0.57,0.55,0.27,0.32,3.61,0.30,1.55,0.25,2.1,0.0,1.7,/profile/Anthony-Grundy-5435/,/stats/greek/2009/Panellinios,2009,greek,Anthony-Grundy-5435,Panellinios
Keydren Clark,Aris,35,31.6,14.3,11.1,1.01,0.58,0.55,0.25,0.50,2.57,0.23,1.48,-0.09,0.9,0.0,2.1,/profile/Keydren-Clark-570/,/stats/greek/2009/Aris,2009,greek,Keydren-Clark-570,Aris
Rolandas Alijevas,AEL,8,31.2,9.3,7.8,0.87,0.53,0.49,0.27,0.37,3.00,0.39,1.60,0.40,0.9,0.1,2.1,/profile/Rolandas-Alijevas-37591/,/stats/greek/2009/AEL,2009,greek,Rolandas-Alijevas-37591,AEL
Mike King,Larissa,17,31.1,15.2,11.4,0.97,0.57,0.52,0.38,0.49,2.00,0.18,0.94,-2.59,1.2,0.1,3.1,/profile/Mike-King-5562/,/stats/greek/2009/Larissa,2009,greek,Mike-King-5562,Larissa
Lance Harris,Rhodes,28,30.4,13.0,9.6,0.99,0.59,0.55,0.33,0.22,0.71,0.07,0.36,-4.93,1.4,0.3,2.3,/profile/Lance-Harris-5581/,/stats/greek/2009/Rhodes,2009,greek,Lance-Harris-5581,Rhodes
Costas Vassiliadis,PAOK,15,30.3,16.5,11.5,1.09,0.62,0.57,0.34,0.61,1.87,0.16,1.12,-1.37,1.1,0.1,1.4,/profile/Costas-Vassiliadis-28/,/stats/greek/2009/PAOK,2009,greek,Costas-Vassiliadis-28,PAOK
Prodromos Nikolaidis,Trikala,25,30.2,14.4,10.7,0.98,0.58,0.52,0.35,0.64,0.92,0.09,0.44,-4.78,0.9,0.2,2.2,/profile/Prodromos-Nikolaidis-36335/,/stats/greek/2009/Trikala,2009,greek,Prodromos-Nikolaidis-36335,Trikala
Corey Belser,Larissa,16,30.1,10.2,7.3,1.10,0.61,0.59,0.34,0.65,1.25,0.17,1.54,0.07,1.9,0.1,3.0,/profile/Corey-Belser-1035/,/stats/greek/2009/Larissa,2009,greek,Corey-Belser-1035,Larissa
Nestoras Komatos,AEL,17,29.8,10.2,8.2,0.85,0.53,0.50,0.38,0.63,1.35,0.17,0.59,-4.67,0.9,0.3,1.8,/profile/Nestoras-Komatos-35552/,/stats/greek/2009/AEL,2009,greek,Nestoras-Komatos-35552,AEL
Vladimir Micov,Panionios,6,29.5,9.0,6.2,1.13,0.64,0.64,0.32,0.27,1.17,0.19,1.40,-0.19,0.7,0.2,3.7,/profile/Vladimir-Micov-1258/,/stats/greek/2009/Panionios,2009,greek,Vladimir-Micov-1258,Panionios
Billy Thomas,Kavala,11,29.4,8.4,8.3,0.78,0.46,0.43,0.21,0.56,1.45,0.18,0.94,-1.97,1.5,0.1,2.8,/profile/Billy-Thomas-4587/,/stats/greek/2009/Kavala,2009,greek,Billy-Thomas-4587,Kavala
Avraam Kallinikidis,Egaleo,26,29.2,8.5,5.7,0.95,0.60,0.53,0.56,0.22,1.42,0.25,0.82,-2.66,1.1,0.3,2.2,/profile/Avraam-Kallinikidis-38674/,/stats/greek/2009/Egaleo,2009,greek,Avraam-Kallinikidis-38674,Egaleo
Dimitrios Papanikolaou,AEK Athens,26,29.0,11.6,9.0,0.99,0.57,0.54,0.31,0.37,2.65,0.29,1.97,1.52,0.7,0.3,2.3,/profile/Dimitrios-Papanikolaou-35439/,/stats/greek/2009/AEK%20Athens,2009,greek,Dimitrios-Papanikolaou-35439,AEK%20Athens
Kenny Gregory,PAOK,18,29.0,13.4,10.3,1.11,0.62,0.62,0.11,0.25,1.11,0.11,0.91,-1.63,0.5,0.3,1.2,/profile/Kenny-Gregory-5355/,/stats/greek/2009/PAOK,2009,greek,Kenny-Gregory-5355,PAOK
Billy Keys,Maroussi,35,28.9,10.2,8.1,0.95,0.56,0.53,0.26,0.55,3.43,0.42,2.11,2.29,1.0,0.1,2.6,/profile/Billy-Keys-5580/,/stats/greek/2009/Maroussi,2009,greek,Billy-Keys-5580,Maroussi
Alain Digbeu,Kavala,13,28.4,7.5,5.5,0.71,0.55,0.49,0.54,0.70,2.31,0.42,0.65,-7.10,0.7,0.1,2.6,/profile/Alain-Digbeu-35361/,/stats/greek/2009/Kavala,2009,greek,Alain-Digbeu-35361,Kavala
Sasa Vasiljevic,Rhodes,28,28.4,9.9,6.5,0.94,0.64,0.56,0.42,0.59,3.04,0.46,1.16,-2.07,0.8,0.0,2.5,/profile/Sasa-Vasiljevic-38168/,/stats/greek/2009/Rhodes,2009,greek,Sasa-Vasiljevic-38168,Rhodes
Darryl Thompson,AEK Athens,26,28.2,10.4,7.8,0.90,0.59,0.56,0.30,0.51,3.12,0.40,1.21,-1.84,1.3,0.0,2.9,/profile/Darryl-Thompson-39772/,/stats/greek/2009/AEK%20Athens,2009,greek,Darryl-Thompson-39772,AEK%20Athens
Spencer Nelson,Aris,35,27.8,9.8,6.6,0.97,0.62,0.57,0.45,0.26,1.94,0.29,0.94,-2.87,0.9,0.2,3.0,/profile/Spencer-Nelson-5410/,/stats/greek/2009/Aris,2009,greek,Spencer-Nelson-5410,Aris
Jarod Stevenson,Maroussi,35,27.5,11.1,7.4,1.15,0.66,0.61,0.30,0.66,1.37,0.19,1.23,-0.73,1.0,0.2,2.1,/profile/Jarod-Stevenson-5587/,/stats/greek/2009/Maroussi,2009,greek,Jarod-Stevenson-5587,Maroussi
Travon Bryant,AEK Athens,24,27.4,11.9,9.7,0.90,0.53,0.48,0.36,0.24,1.13,0.12,0.61,-4.11,0.8,0.8,3.5,/profile/Travon-Bryant-5584/,/stats/greek/2009/AEK%20Athens,2009,greek,Travon-Bryant-5584,AEK%20Athens
Giedrius Gustas,Kavala,13,27.2,8.9,7.1,0.87,0.57,0.52,0.26,0.43,2.77,0.39,1.24,-1.42,1.0,0.0,3.2,/profile/Giedrius-Gustas-35470/,/stats/greek/2009/Kavala,2009,greek,Giedrius-Gustas-35470,Kavala
Pape-Philippe Amagou,Kavala,26,27.2,8.0,6.2,0.84,0.54,0.47,0.43,0.48,2.15,0.35,1.12,-1.80,0.3,0.0,3.0,/profile/Pape-Philippe-Amagou-186/,/stats/greek/2009/Kavala,2009,greek,Pape-Philippe-Amagou-186,Kavala
Jurica Golemac,Panellinios,25,26.9,10.8,7.5,0.87,0.60,0.56,0.45,0.24,2.88,0.38,0.89,-4.63,1.0,0.2,3.6,/profile/Jurica-Golemac-5578/,/stats/greek/2009/Panellinios,2009,greek,Jurica-Golemac-5578,Panellinios
Jamel Thomas,Larissa,5,26.9,9.2,11.0,0.67,0.40,0.39,0.13,0.27,0.40,0.04,0.20,-6.63,1.0,0.0,2.4,/profile/Jamel-Thomas-4577/,/stats/greek/2009/Larissa,2009,greek,Jamel-Thomas-4577,Larissa
Mamoutou Diarra,PAOK,21,26.9,9.9,7.6,0.97,0.56,0.53,0.35,0.44,0.71,0.09,0.56,-2.96,0.7,0.2,2.0,/profile/Mamoutou-Diarra-5586/,/stats/greek/2009/PAOK,2009,greek,Mamoutou-Diarra-5586,PAOK
K'Zell Wesson,PAOK,9,26.9,10.8,7.8,0.95,0.57,0.52,0.51,0.14,1.89,0.24,1.21,-1.08,1.2,0.2,3.0,/profile/K-Zell-Wesson-5583/,/stats/greek/2009/PAOK,2009,greek,K-Zell-Wesson-5583,PAOK
Josh Childress,Olympiakos,25,26.8,13.5,9.2,1.11,0.63,0.59,0.40,0.27,0.80,0.09,0.69,-2.28,1.2,0.7,1.8,/profile/Josh-Childress-1988/,/stats/greek/2009/Olympiakos,2009,greek,Josh-Childress-1988,Olympiakos
Kostas Charalampidis,Maroussi,36,26.7,10.3,6.5,1.04,0.64,0.55,0.56,0.54,2.61,0.40,1.65,0.59,0.6,0.1,2.0,/profile/Kostas-Charalampidis-35416/,/stats/greek/2009/Maroussi,2009,greek,Kostas-Charalampidis-35416,Maroussi
Donell Taylor,Egaleo,20,26.6,12.9,11.9,0.79,0.49,0.45,0.27,0.20,2.10,0.18,0.76,-5.03,1.1,0.5,2.0,/profile/Donell-Taylor-325/,/stats/greek/2009/Egaleo,2009,greek,Donell-Taylor-325,Egaleo
Giannis Gagaloudis,Kavala,24,26.6,9.0,7.4,0.84,0.52,0.46,0.39,0.40,2.33,0.32,1.22,-1.37,0.8,0.0,2.2,/profile/Giannis-Gagaloudis-35982/,/stats/greek/2009/Kavala,2009,greek,Giannis-Gagaloudis-35982,Kavala
Nikolaos Papanikolopoulos,Rhodes,24,26.4,9.2,7.9,0.89,0.51,0.47,0.33,0.44,1.67,0.21,1.54,0.11,0.6,0.0,2.4,/profile/Nikolaos-Papanikolopoulos-36258/,/stats/greek/2009/Rhodes,2009,greek,Nikolaos-Papanikolopoulos-36258,Rhodes
Leemire Goldwire,Egaleo,5,26.3,12.2,10.4,0.78,0.49,0.44,0.44,0.56,2.20,0.21,0.73,-5.79,1.0,0.0,3.4,/profile/Leemire-Goldwire-25621/,/stats/greek/2009/Egaleo,2009,greek,Leemire-Goldwire-25621,Egaleo
Will Daniels,Kavala,26,26.3,13.4,10.2,0.94,0.55,0.52,0.42,0.33,0.88,0.09,0.45,-5.26,1.0,0.7,3.3,/profile/Will-Daniels-1209/,/stats/greek/2009/Kavala,2009,greek,Will-Daniels-1209,Kavala
Britton Johnsen,PAOK,16,26.3,11.9,8.5,0.95,0.58,0.51,0.50,0.30,1.13,0.13,0.58,-4.44,0.9,0.6,2.6,/profile/Britton-Johnsen-2986/,/stats/greek/2009/PAOK,2009,greek,Britton-Johnsen-2986,PAOK
Brad Newley,Panellinios,28,26.0,10.6,7.8,1.04,0.60,0.57,0.31,0.38,0.82,0.11,0.70,-2.29,0.9,0.1,2.3,/profile/Brad-Newley-341/,/stats/greek/2009/Panellinios,2009,greek,Brad-Newley-341,Panellinios
Antanas Kavaliauskas,Kavala,25,26.0,11.0,6.7,1.08,0.67,0.66,0.53,0.05,0.64,0.10,0.38,-4.86,1.0,0.6,3.2,/profile/Antanas-Kavaliauskas-1260/,/stats/greek/2009/Kavala,2009,greek,Antanas-Kavaliauskas-1260,Kavala
Dimos Dikoudis,Panionios,18,25.9,11.4,8.2,0.92,0.57,0.50,0.50,0.28,0.89,0.11,0.43,-5.73,0.7,0.6,2.7,/profile/Dimos-Dikoudis-5579/,/stats/greek/2009/Panionios,2009,greek,Dimos-Dikoudis-5579,Panionios
Andrew Betts,Aris,21,25.9,10.3,5.8,1.03,0.68,0.64,0.72,0.00,0.62,0.11,0.28,-7.18,0.4,0.4,2.5,/profile/Andrew-Betts-5639/,/stats/greek/2009/Aris,2009,greek,Andrew-Betts-5639,Aris
Mark Dickel,Trikala,14,25.8,7.1,4.6,0.82,0.59,0.52,0.66,0.38,3.36,0.72,1.38,-0.73,0.9,0.0,3.2,/profile/Mark-Dickel-38851/,/stats/greek/2009/Trikala,2009,greek,Mark-Dickel-38851,Trikala
Damir Mulaomerovic,PAOK,11,25.8,12.5,8.5,0.94,0.59,0.48,0.58,0.40,3.73,0.44,1.58,0.46,0.7,0.0,2.5,/profile/Damir-Mulaomerovic-5585/,/stats/greek/2009/PAOK,2009,greek,Damir-Mulaomerovic-5585,PAOK
Torrell Martin,Kavala,8,25.7,10.4,10.4,0.78,0.47,0.48,0.12,0.51,1.38,0.13,0.58,-5.71,0.6,0.3,2.6,/profile/Torrell-Martin-494/,/stats/greek/2009/Kavala,2009,greek,Torrell-Martin-494,Kavala
Lonny Baxter,Panionios,22,25.7,12.4,8.0,1.06,0.61,0.59,0.60,0.00,0.32,0.04,0.24,-4.38,0.7,0.8,3.3,/profile/Lonny-Baxter-1626/,/stats/greek/2009/Panionios,2009,greek,Lonny-Baxter-1626,Panionios
Chris Massie,Trikala,11,25.5,11.5,7.9,1.15,0.66,0.64,0.24,0.00,0.64,0.08,0.54,-2.92,1.1,1.3,3.6,/profile/Chris-Massie-5656/,/stats/greek/2009/Trikala,2009,greek,Chris-Massie-5656,Trikala
Marios Batis,Larissa,25,25.2,9.0,6.8,0.81,0.55,0.49,0.46,0.51,3.00,0.44,1.09,-3.09,1.4,0.0,3.1,/profile/Marios-Batis-35532/,/stats/greek/2009/Larissa,2009,greek,Marios-Batis-35532,Larissa
Dejan Tomasevic,PAOK,26,25.2,9.3,6.8,0.92,0.58,0.56,0.43,0.01,1.81,0.27,0.94,-2.80,0.8,0.2,1.5,/profile/Dejan-Tomasevic-5591/,/stats/greek/2009/PAOK,2009,greek,Dejan-Tomasevic-5591,PAOK
Ivan Vukadinov,Kavala,2,24.9,16.0,12.5,1.19,0.64,0.64,0.00,0.20,0.00,0.00,0.00,-4.04,0.5,0.5,2.0,/profile/Ivan-Vukadinov-38404/,/stats/greek/2009/Kavala,2009,greek,Ivan-Vukadinov-38404,Kavala
Sean Marshall,Aris,16,24.9,12.3,9.1,0.98,0.58,0.54,0.34,0.46,0.75,0.08,0.43,-5.26,0.5,0.0,1.8,/profile/Sean-Marshall-1271/,/stats/greek/2009/Aris,2009,greek,Sean-Marshall-1271,Aris
Istvan Nemeth,AEK Athens,25,24.8,10.8,7.4,1.15,0.67,0.65,0.21,0.64,1.28,0.17,1.03,-1.62,0.8,0.0,2.3,/profile/Istvan-Nemeth-36797/,/stats/greek/2009/AEK%20Athens,2009,greek,Istvan-Nemeth-36797,AEK%20Athens
Giorgos Apostolidis,AEL,24,24.7,6.8,5.5,0.72,0.50,0.39,0.52,0.36,2.58,0.47,1.05,-2.98,0.6,0.1,2.6,/profile/Giorgos-Apostolidis-35475/,/stats/greek/2009/AEL,2009,greek,Giorgos-Apostolidis-35475,AEL
Terrel Castle,Larissa,21,24.4,7.7,5.6,0.85,0.55,0.47,0.58,0.49,1.71,0.31,0.95,-2.81,0.9,0.0,2.0,/profile/Terrel-Castle-37089/,/stats/greek/2009/Larissa,2009,greek,Terrel-Castle-37089,Larissa
Dimitrios Tsaldaris,Aris,34,24.2,9.1,7.5,0.92,0.55,0.51,0.24,0.59,1.62,0.21,1.15,-1.44,0.8,0.1,1.8,/profile/Dimitrios-Tsaldaris-5941/,/stats/greek/2009/Aris,2009,greek,Dimitrios-Tsaldaris-5941,Aris
Manolis Papamakarios,Panellinios,28,24.2,9.4,7.9,0.90,0.54,0.51,0.24,0.53,2.25,0.29,1.37,-0.56,1.4,0.0,3.0,/profile/Manolis-Papamakarios-35528/,/stats/greek/2009/Panellinios,2009,greek,Manolis-Papamakarios-35528,Panellinios
Loukas Mavrokefalidis,Maroussi,36,24.1,11.7,9.1,0.92,0.56,0.50,0.35,0.11,1.28,0.14,0.62,-5.03,0.6,0.5,2.6,/profile/Loukas-Mavrokefalidis-1057/,/stats/greek/2009/Maroussi,2009,greek,Loukas-Mavrokefalidis-1057,Maroussi
Vassilis Spanoulis,Panathinaikos,30,23.7,10.2,7.0,0.93,0.60,0.53,0.47,0.35,2.83,0.40,1.25,-1.56,0.7,0.0,1.7,/profile/Vassilis-Spanoulis-5209/,/stats/greek/2009/Panathinaikos,2009,greek,Vassilis-Spanoulis-5209,Panathinaikos
Kostas Kaimakoglou,Maroussi,33,23.4,10.1,6.6,1.09,0.66,0.62,0.35,0.39,1.15,0.17,0.78,-3.08,0.7,0.1,2.8,/profile/Kostas-Kaimakoglou-5798/,/stats/greek/2009/Maroussi,2009,greek,Kostas-Kaimakoglou-5798,Maroussi
Ioannis Kalambokis,Panionios,27,23.4,10.0,6.4,1.00,0.62,0.54,0.59,0.41,0.81,0.13,0.47,-5.20,0.7,0.1,2.4,/profile/Ioannis-Kalambokis-5386/,/stats/greek/2009/Panionios,2009,greek,Ioannis-Kalambokis-5386,Panionios
Blagota Sekulic,Aris,19,23.2,7.5,5.5,0.91,0.57,0.52,0.45,0.09,0.37,0.07,0.25,-5.53,1.0,0.4,2.7,/profile/Blagota-Sekulic-35394/,/stats/greek/2009/Aris,2009,greek,Blagota-Sekulic-35394,Aris
Periklis Dorkofikis,AEK Athens,25,23.2,7.6,5.3,1.02,0.61,0.59,0.35,0.33,0.72,0.14,0.64,-2.88,0.3,0.2,2.6,/profile/Periklis-Dorkofikis-35579/,/stats/greek/2009/AEK%20Athens,2009,greek,Periklis-Dorkofikis-35579,AEK%20Athens
Fotis Labropoulos,AEL,22,23.1,9.3,6.5,0.96,0.62,0.58,0.36,0.27,1.18,0.18,0.59,-5.25,0.9,0.1,3.0,/profile/Fotis-Labropoulos-39465/,/stats/greek/2009/AEL,2009,greek,Fotis-Labropoulos-39465,AEL
Andrae Patterson,Egaleo,13,22.9,7.1,6.5,0.80,0.48,0.43,0.29,0.26,0.54,0.08,0.39,-4.45,0.7,0.3,3.5,/profile/Andrae-Patterson-3885/,/stats/greek/2009/Egaleo,2009,greek,Andrae-Patterson-3885,Egaleo
Alexis Kyritsis,PAOK,27,22.8,9.7,7.2,0.81,0.53,0.41,0.62,0.18,1.41,0.20,0.57,-6.65,0.9,0.0,2.1,/profile/Alexis-Kyritsis-5925/,/stats/greek/2009/PAOK,2009,greek,Alexis-Kyritsis-5925,PAOK
Dimitris Diamantidis,Panathinaikos,27,22.4,8.2,4.9,1.12,0.73,0.69,0.35,0.49,3.93,0.80,2.41,4.31,1.1,0.5,2.1,/profile/Dimitris-Diamantidis-5113/,/stats/greek/2009/Panathinaikos,2009,greek,Dimitris-Diamantidis-5113,Panathinaikos
Bracey Wright,Aris,12,22.4,10.3,8.3,0.91,0.53,0.45,0.42,0.36,1.25,0.15,0.94,-2.34,0.6,0.0,1.5,/profile/Bracey-Wright-130/,/stats/greek/2009/Aris,2009,greek,Bracey-Wright-130,Aris
Georgios Kalaitzis,Panellinios,25,22.4,4.7,3.2,0.71,0.58,0.48,0.61,0.50,2.16,0.68,0.89,-4.22,1.1,0.0,3.0,/profile/Georgios-Kalaitzis-35971/,/stats/greek/2009/Panellinios,2009,greek,Georgios-Kalaitzis-35971,Panellinios
Chris Bracey,Egaleo,11,22.3,7.5,6.0,0.88,0.54,0.48,0.39,0.39,0.55,0.09,0.40,-4.45,1.3,0.1,2.5,/profile/Chris-Bracey-38312/,/stats/greek/2009/Egaleo,2009,greek,Chris-Bracey-38312,Egaleo
Theodoros Papaloukas,Olympiakos,29,22.3,6.8,4.7,0.84,0.64,0.59,0.30,0.39,4.79,1.01,1.83,2.51,1.1,0.0,1.7,/profile/Theodoros-Papaloukas-5112/,/stats/greek/2009/Olympiakos,2009,greek,Theodoros-Papaloukas-5112,Olympiakos
Sven Schultze,Larissa,26,21.9,11.1,7.4,1.10,0.67,0.65,0.26,0.61,1.08,0.15,0.64,-4.57,0.6,0.0,3.0,/profile/Sven-Schultze-5582/,/stats/greek/2009/Larissa,2009,greek,Sven-Schultze-5582,Larissa
Sotiris Karapostolou,Larissa,18,21.9,6.8,6.4,0.76,0.50,0.47,0.16,0.78,1.33,0.21,0.67,-5.22,0.8,0.1,1.5,/profile/Sotiris-Karapostolou-38191/,/stats/greek/2009/Larissa,2009,greek,Sotiris-Karapostolou-38191,Larissa
Yotam Halperin,Olympiakos,34,21.6,8.2,4.7,1.27,0.74,0.72,0.39,0.55,1.62,0.34,1.96,1.15,1.1,0.2,1.5,/profile/Yotam-Halperin-121/,/stats/greek/2009/Olympiakos,2009,greek,Yotam-Halperin-121,Olympiakos
Antonis Fotsis,Panathinaikos,35,21.3,7.1,4.8,1.09,0.65,0.62,0.33,0.57,0.97,0.20,1.03,-1.36,0.5,0.6,1.5,/profile/Antonis-Fotsis-2456/,/stats/greek/2009/Panathinaikos,2009,greek,Antonis-Fotsis-2456,Panathinaikos
Mike Batiste,Panathinaikos,34,21.2,12.4,7.2,1.18,0.71,0.68,0.49,0.03,0.47,0.07,0.31,-5.47,0.7,0.4,2.2,/profile/Mike-Batiste-1617/,/stats/greek/2009/Panathinaikos,2009,greek,Mike-Batiste-1617,Panathinaikos
Branko Cvetkovic,Panionios,21,21.1,8.3,7.0,0.92,0.53,0.48,0.29,0.55,0.57,0.08,0.52,-3.44,0.6,0.0,2.0,/profile/Branko-Cvetkovic-5588/,/stats/greek/2009/Panionios,2009,greek,Branko-Cvetkovic-5588,Panionios
Drew Nicholas,Panathinaikos,35,21.0,7.4,6.4,0.95,0.55,0.54,0.09,0.58,1.49,0.23,1.37,-0.44,0.8,0.1,1.8,/profile/Drew-Nicholas-5217/,/stats/greek/2009/Panathinaikos,2009,greek,Drew-Nicholas-5217,Panathinaikos
Ivan Radenovic,Panellinios,27,20.9,10.7,7.1,1.03,0.61,0.54,0.51,0.13,0.67,0.09,0.47,-4.34,0.9,0.1,2.3,/profile/Ivan-Radenovic-581/,/stats/greek/2009/Panellinios,2009,greek,Ivan-Radenovic-581,Panellinios
DeVon Hardin,Egaleo,11,20.9,6.3,5.5,0.74,0.47,0.46,0.44,0.00,0.18,0.03,0.11,-7.62,0.5,1.5,2.5,/profile/DeVon-Hardin-225/,/stats/greek/2009/Egaleo,2009,greek,DeVon-Hardin-225,Egaleo
Ivan Zoroski,Panionios,25,20.9,9.8,6.9,1.04,0.62,0.59,0.31,0.45,1.32,0.19,0.92,-2.73,1.0,0.0,2.5,/profile/Ivan-Zoroski-5547/,/stats/greek/2009/Panionios,2009,greek,Ivan-Zoroski-5547,Panionios
Lynn Greer,Olympiakos,34,20.8,9.3,6.5,1.03,0.63,0.57,0.32,0.49,1.62,0.25,1.12,-1.70,0.6,0.1,2.0,/profile/Lynn-Greer-5345/,/stats/greek/2009/Olympiakos,2009,greek,Lynn-Greer-5345,Olympiakos
Yiannis Bouroussis,Olympiakos,32,20.7,11.9,7.7,1.11,0.66,0.62,0.39,0.17,0.94,0.12,0.63,-4.11,0.7,0.9,1.8,/profile/Yiannis-Bouroussis-118/,/stats/greek/2009/Olympiakos,2009,greek,Yiannis-Bouroussis-118,Olympiakos
Dimitrios Charitopoulos,Trikala,24,20.5,8.4,5.5,1.14,0.67,0.66,0.34,0.35,0.71,0.13,0.71,-2.53,0.6,0.2,2.5,/profile/Dimitrios-Charitopoulos-36669/,/stats/greek/2009/Trikala,2009,greek,Dimitrios-Charitopoulos-36669,Trikala
Dimitris Bogdanos,Trikala,25,20.2,7.2,6.4,0.82,0.49,0.44,0.35,0.51,0.80,0.13,0.59,-4.03,0.6,0.4,2.2,/profile/Dimitris-Bogdanos-36672/,/stats/greek/2009/Trikala,2009,greek,Dimitris-Bogdanos-36672,Trikala
Dragan Ceranic,Rhodes,24,20.0,7.4,5.1,0.90,0.57,0.51,0.63,0.01,0.33,0.07,0.21,-6.88,0.5,0.1,3.0,/profile/Dragan-Ceranic-35903/,/stats/greek/2009/Rhodes,2009,greek,Dragan-Ceranic-35903,Rhodes
Nikos Hatzis,AEK Athens,26,19.8,8.2,5.7,0.97,0.60,0.54,0.46,0.42,1.46,0.26,1.00,-2.56,0.5,0.0,1.8,/profile/Nikos-Hatzis-36290/,/stats/greek/2009/AEK%20Athens,2009,greek,Nikos-Hatzis-36290,AEK%20Athens
Raimonds Gabrans,Egaleo,22,19.8,4.6,3.7,0.79,0.51,0.46,0.53,0.44,1.68,0.46,1.42,-0.30,0.3,0.0,1.6,/profile/Raimonds-Gabrans-38915/,/stats/greek/2009/Egaleo,2009,greek,Raimonds-Gabrans-38915,Egaleo
Guido Grunheid,Egaleo,15,19.7,6.2,5.2,0.82,0.52,0.51,0.33,0.35,0.93,0.18,0.61,-4.58,1.1,0.5,2.3,/profile/Guido-Grunheid-36780/,/stats/greek/2009/Egaleo,2009,greek,Guido-Grunheid-36780,Egaleo
Nikola Vujcic,Olympiakos,32,19.7,8.8,6.4,0.95,0.60,0.57,0.33,0.04,2.41,0.37,1.38,-0.72,0.5,0.4,1.6,/profile/Nikola-Vujcic-5230/,/stats/greek/2009/Olympiakos,2009,greek,Nikola-Vujcic-5230,Olympiakos
Antonios Asimakopoulos,Rhodes,28,19.6,5.7,4.4,0.95,0.56,0.49,0.36,0.50,0.68,0.15,0.86,-1.71,0.7,0.1,2.4,/profile/Antonios-Asimakopoulos-37188/,/stats/greek/2009/Rhodes,2009,greek,Antonios-Asimakopoulos-37188,Rhodes
Christos Harissis,PAOK,13,19.6,8.2,6.1,0.89,0.55,0.47,0.49,0.61,2.31,0.38,1.43,-0.39,1.0,0.0,2.5,/profile/Christos-Harissis-35807/,/stats/greek/2009/PAOK,2009,greek,Christos-Harissis-35807,PAOK
Stratos Perperoglou,Panathinaikos,32,19.5,6.5,4.2,1.08,0.65,0.61,0.39,0.37,1.22,0.29,1.30,-0.63,0.9,0.3,2.0,/profile/Stratos-Perperoglou-5467/,/stats/greek/2009/Panathinaikos,2009,greek,Stratos-Perperoglou-5467,Panathinaikos
Milos Teodosic,Olympiakos,32,19.4,7.0,4.3,1.11,0.71,0.70,0.31,0.58,2.44,0.56,1.90,1.72,0.5,0.1,2.8,/profile/Milos-Teodosic-266/,/stats/greek/2009/Olympiakos,2009,greek,Milos-Teodosic-266,Olympiakos
Nikos Barlos,Aris,36,19.2,5.9,4.9,0.94,0.55,0.51,0.26,0.58,0.69,0.14,0.83,-2.02,0.8,0.2,3.1,/profile/Nikos-Barlos-37533/,/stats/greek/2009/Aris,2009,greek,Nikos-Barlos-37533,Aris
Pantelis Papaioakim,Larissa,26,19.2,5.7,4.0,0.85,0.59,0.54,0.50,0.00,0.69,0.17,0.39,-7.01,0.5,0.3,3.0,/profile/Pantelis-Papaioakim-36311/,/stats/greek/2009/Larissa,2009,greek,Pantelis-Papaioakim-36311,Larissa
Sarunas Jasikevicius,Panathinaikos,31,19.0,11.3,7.1,1.09,0.70,0.66,0.32,0.46,2.65,0.37,1.24,-1.89,0.8,0.1,1.5,/profile/Sarunas-Jasikevicius-5267/,/stats/greek/2009/Panathinaikos,2009,greek,Sarunas-Jasikevicius-5267,Panathinaikos
Giorgos Printezis,Olympiakos,30,18.8,9.6,6.6,1.13,0.64,0.62,0.31,0.17,0.80,0.12,0.89,-1.90,0.6,0.1,1.9,/profile/Giorgos-Printezis-1295/,/stats/greek/2009/Olympiakos,2009,greek,Giorgos-Printezis-1295,Olympiakos
